1737808565.968838, 199.98.50.213, validate_cpf, 0.01
1737810715.7099805, 127.0.0.1, mul, 0.01
1737810715.7269843, 127.0.0.1, sub, 0.01
1737810715.7449884, 127.0.0.1, mul, 0.01
1737810715.7629926, 127.0.0.1, sub, 0.01
1737810715.7799964, 127.0.0.1, mul, 0.01
1737810715.797, 127.0.0.1, sub, 0.01
1737810715.814004, 127.0.0.1, mul, 0.01
1737810715.8320072, 127.0.0.1, sub, 0.01
1737810715.849012, 127.0.0.1, mul, 0.01
1737810715.8660154, 127.0.0.1, sub, 0.01
1737810715.8830194, 127.0.0.1, mul, 0.01
1737810715.9000232, 127.0.0.1, sub, 0.01
1737810715.9170268, 127.0.0.1, mul, 0.01
1737810715.9340305, 127.0.0.1, sub, 0.01
1737810715.9510348, 127.0.0.1, mul, 0.01
1737810715.9690385, 127.0.0.1, sub, 0.01
1737810715.9860427, 127.0.0.1, mul, 0.01
1737810716.0030465, 127.0.0.1, sub, 0.01
1737810716.0190501, 127.0.0.1, mul, 0.01
1737810716.0370548, 127.0.0.1, sub, 0.01
1737810716.0540578, 127.0.0.1, mul, 0.01
1737810716.0710618, 127.0.0.1, sub, 0.01
1737810716.0880656, 127.0.0.1, mul, 0.01
1737810716.1050692, 127.0.0.1, sub, 0.01
1737810716.1220732, 127.0.0.1, mul, 0.01
1737810716.1390774, 127.0.0.1, sub, 0.01
1737810716.1630821, 127.0.0.1, mul, 0.01
1737810716.1820867, 127.0.0.1, sub, 0.01
1737810716.2000897, 127.0.0.1, mul, 0.01
1737810716.2170944, 127.0.0.1, sub, 0.01
1737810716.2350986, 127.0.0.1, mul, 0.01
1737810716.2521026, 127.0.0.1, sub, 0.01
1737810716.2691061, 127.0.0.1, mul, 0.01
1737810716.2871099, 127.0.0.1, sub, 0.01
1737810716.3041143, 127.0.0.1, mul, 0.01
1737810716.322118, 127.0.0.1, sub, 0.01
1737810716.3391218, 127.0.0.1, mul, 0.01
1737810716.3561256, 127.0.0.1, sub, 0.01
1737810716.3731287, 127.0.0.1, mul, 0.01
1737810716.3901336, 127.0.0.1, sub, 0.01
1737810716.4071374, 127.0.0.1, mul, 0.01
1737810716.42414, 127.0.0.1, sub, 0.01
